,impression_uuid,tag
828,00000000-0000-0001-6270-524716181981,fclick
830,00000000-0000-0001-6270-526666401073,fclick
831,00000000-0000-0001-6269-601115921731,vregistration
832,00000000-0000-0001-6270-527190101700,fclick
834,00000000-0000-0001-6270-528463561244,fclick
836,00000000-0000-0001-6270-529863211551,fclick
840,00000000-0000-0001-6270-532268271012,fclick
844,00000000-0000-0001-6270-532216211741,fclick
846,00000000-0000-0001-6270-532403381330,fclick
847,00000000-0000-0001-6270-532565261299,fclick
849,00000000-0000-0001-6270-533770741724,fclick
851,00000000-0000-0001-6270-537036331590,fclick
853,00000000-0000-0001-6270-538341341730,fclick
854,00000000-0000-0001-6270-538965101864,fclick
855,00000000-0000-0001-6269-156262131152,vregistration
856,00000000-0000-0001-6270-539348271257,fclick
858,00000000-0000-0001-6270-468852691753,vcontent
859,00000000-0000-0001-6270-542190771620,fclick
864,00000000-0000-0001-6270-543462391381,fclick
867,00000000-0000-0001-6270-543797951540,fclick
869,00000000-0000-0001-6270-543957181707,fclick
870,00000000-0000-0001-6270-543957181707,registration
871,00000000-0000-0001-6269-125248461755,registration
872,00000000-0000-0001-6270-546744781747,fclick
874,00000000-0000-0001-6269-478302231593,vregistration
875,00000000-0000-0001-6270-112464391834,vregistration
876,00000000-0000-0001-6270-551355671370,fclick
877,00000000-0000-0001-6270-552515041788,fclick
878,00000000-0000-0001-6270-552621621916,fclick
880,00000000-0000-0001-6270-552778911769,fclick
881,00000000-0000-0001-6270-552778911769,registration
882,00000000-0000-0001-6270-552850741515,fclick
884,00000000-0000-0001-6270-552879121188,fclick
885,00000000-0000-0001-6270-310212461807,vregistration
886,00000000-0000-0001-6269-549042351598,vregistration
887,00000000-0000-0001-6270-555946951242,fclick
889,00000000-0000-0001-6270-560262021687,fclick
890,00000000-0000-0001-6269-717876831778,vregistration
891,00000000-0000-0001-6270-561480221756,fclick
892,00000000-0000-0001-6269-937206311397,vregistration
893,00000000-0000-0001-6270-565364341992,fclick
894,00000000-0000-0001-6270-565501401088,fclick
897,00000000-0000-0001-6270-565745491159,fclick
899,00000000-0000-0001-6270-566445851247,fclick
900,00000000-0000-0001-6270-568955771438,fclick
902,00000000-0000-0001-6269-601163941990,vregistration
903,00000000-0000-0001-6270-569961961469,fclick
905,00000000-0000-0001-6270-570214671180,registration
